站名,X,Y,color,人數,車位數,size
善導寺,7.5,-1.6,b,23019,0,23
忠孝新生,19.5,-6.6,b,32799,0,33
忠孝復興,33.5,-6.6,b,47084,0,47
忠孝敦化,42.5,-6.6,b,37367,0,37
國父紀念館,51,-6.6,b,22590,0,23
市政府,62,-6.6,b,65006,0,65
永春,74.5,-6.6,b,19815,0,20
後山埤,82.3,-0.8,b,16389,0,16
昆陽,96.5,7.2,b,14095,0,14
捷運南港,113.8,9.2,b,17631,0,18
捷運南港展覽館,127.5,13.7,b,27499,0,27
捷運南港軟體園區,125.2,20.1,b,4483,0,4
捷運東湖,119.7,30.6,b,8304,0,8
葫洲,113.2,37.9,b,8185,0,8
捷運大湖公園,106.7,52.9,b,3380,0,3
捷運內湖,96.9,52.9,b,8765,0,9
捷運文德,84.9,45.7,b,5417,0,5
捷運港墘,72.5,47.7,b,14771,0,15
捷運西湖,62.5,50.7,b,16122,0,16
劍南路,48,54.2,b,11385,0,11
捷運大直,37,47.2,b,10074,0,10
松山機場,43,24.7,b,5471,0,5
中山國中,33.5,21.2,b,14339,0,14
南京復興,33.5,9.2,b,38707,0,39
台北小巨蛋,43.5,9.2,b,23589,0,24
南京三民,58.7,9.2,b,23500,0,24
松山,76.2,7.2,b,23475,0,23
松江南京,19.6,9.2,b,35648,0,36
中山,3.6,10.2,b,47553,0,48
北門,-10.2,3.7,b,12004,0,12
西門,-12.5,-6.3,b,74314,0,74
龍山寺,-22.5,-16.3,b,30190,0,30
小南門,-8.5,-15.8,b,10094,0,10
中正紀念堂,1,-20.3,b,30124,0,30
古亭,6.7,-29.5,b,32640,0,33
台電大樓,13.7,-37.8,b,18505,0,19
公館,21.7,-45.8,b,30285,0,30
萬隆,27.7,-64.3,b,9614,0,10
景美,30,-77.3,b,17822,0,18
東門,14,-18.4,b,25671,0,26
行天宮,19.6,19.9,b,27843,0,28
中山國小,11.1,23.9,b,17159,0,17
民權西路,2.6,23.9,b,23220,0,23
大橋頭,-5.1,23.9,b,11662,0,12
雙連,3.5,16,b,23115,0,23
圓山,2.6,35.7,b,30058,0,30
劍潭,8.9,54,b,35277,0,35
士林,10.4,66.5,b,29549,0,30
芝山,5.9,80,b,23767,0,24
明德,1.7,88.5,b,12283,0,12
石牌,-2.6,95.2,b,31585,0,32
唭哩岸,-14.6,104.2,b,6998,0,7
奇岩,-21.1,110.7,b,8047,0,8
北投,-24.4,119,b,18757,0,19
新北投,-19.4,126.5,b,6440,0,6
復興崗,-36.4,134.5,b,3649,0,4
忠義,-51.9,125,b,3292,0,3
關渡,-59.6,117,b,13135,0,13
大安森林公園,23.3,-18.9,b,9065,0,9
大安站,33.3,-18.9,b,25213,0,25
信義安和,45.1,-18.9,b,17977,0,18
台北101,57.4,-18.9,b,31416,0,31
象山,66.7,-18.9,b,12449,0,12
科技大樓,33.3,-29.1,b,14457,0,14
六張犁,45.5,-32.6,b,11143,0,11
麟光,53,-40.1,b,3949,0,4
辛亥,50.2,-57.6,b,2979,0,3
萬芳醫院,50.8,-66.6,b,14985,0,15
萬芳社區,64.3,-68.1,b,2104,0,2
木柵,70.8,-68.7,b,4563,0,5
動物園,79.6,-69.1,b,8205,0,8
台北市立天文科學教育館地下及戶外平面停車場,0.6,70.5,g,0,294,10
國立台灣科學教育館地下停車場,-2.7,70.8,g,0,473,16
兒童新樂園附設停車場,-4.9,72.3,g,0,442,15
福林公園地下停車場,15.5,70.1,g,0,242,8
承德公園地下停車場,5.4,60.5,g,0,176,6
前港公園地下停車場,2.9,55.8,g,0,531,18
百齡高中地下停車場,7.6,56.4,g,0,232,8
文昌國小地下停車場,3.8,75.4,g,0,222,7
忠誠路(二)平面停車場,14.5,85.4,g,0,35,1
忠誠路(一)平面停車場,15,86.4,g,0,24,1
蘭雅公園地下停車場,14,89.7,g,0,155,5
台北市立大學天母校區地下停車場,23.5,98.7,g,0,472,16
天母西側停車場,14.2,102.2,g,0,226,8
天母公園平面停車場,16.4,111.7,g,0,14,0
石牌國小地下停車場,-6.6,95.2,g,0,460,15
振華公園旁平面停車場,0.6,97,g,0,240,8
立農公園地下停車場,-18.1,101.2,g,0,204,7
公館路平面停車場,-18.6,105.2,g,0,132,4
大豐公園地下停車場,-17.4,118,g,0,235,8
復興平面停車場,-16.4,132.3,g,0,69,2
好市多北投分公司,-55.6,120,g,0,690,23
中央北路四段平面停車場,-58.6,121,g,0,26,1
西湖公園地下停車場,66.3,51.5,g,0,175,6
洲子立體停車場,65.7,46.9,g,0,392,13
西康地下停車場,58,54.5,g,0,86,3
港富立體停車場,76.5,48.7,g,0,244,8
康寧平面停車場,111.4,37.9,g,0,21,1
東湖國小地下停車場,125.2,32.6,g,0,358,12
公館商圈,22.5,-47.3,g,0,0,100
西門町商圈,-13.5,-1.3,y,0,0,100
東區商圈,42.8,-5.6,y,0,0,100
